FID,Id,No_rescue2,Property_I,Counts,POINT_X,POINT_Y
0,1,10,1,16,471621.0829,623173.3769
1,2,10,2,16,471533.2914,623177.0108
2,3,10,3,16,470930.8605,622396.2292
3,4,10,4,16,470707.8521,622569.0943
4,5,15,5,11,468655.3903,620692.3615
5,6,0,6,26,467717.1605,623446.3596
6,7,0,7,26,467410.7015,622882.8552
7,8,0,8,26,467401.2593,624318.1469
8,9,0,9,26,467244.7399,621128.9043
9,10,0,10,26,467080.4712,624043.8791
10,11,0,11,26,466925.2258,623007.3267
11,12,0,12,26,466872.5402,625035.2853
12,13,0,13,26,466549.0487,621365.3205
13,14,0,14,26,466328.3287,621106.5244
14,15,13,15,13,465625.6792,625618.5656
15,16,0,16,26,464993.9022,620409.0721
16,17,10,17,16,471899.7581,623205.9425
17,18,11,18,15,471569.8448,622576.783
18,19,20,19,6,469091.6201,621942.5296
19,20,9,20,17,468399.7829,620794.546
20,21,9,21,17,468227.6011,620773.6461
21,22,0,22,26,467600.3032,620923.7459
22,23,0,23,26,467492.9287,621627.1628
23,24,0,24,26,467441.3386,624155.786
24,25,18,25,8,467355.7617,622769.482
25,26,0,26,26,467108.565,621349.4212
26,27,11,27,15,467062.5861,621909.1908
27,28,0,28,26,467044.9224,622307.0775
28,29,0,29,26,466764.7874,620404.0163
29,30,0,30,26,466788.0387,622234.3683
30,31,0,31,26,466642.6666,625120.9744
31,32,0,32,26,466631.1706,620561.2168
32,33,0,33,26,465829.8891,620892.8086
33,34,0,34,26,465793.1919,625263.7901
34,35,4,35,22,464669.0617,625676.5455
35,36,0,36,26,464386.9208,625353.6386
36,37,0,37,26,463802.7648,618448.9257
37,38,10,38,16,471697.334,622568.9775
38,39,10,39,16,471613.5871,622950.6352
39,40,10,40,16,471630.9752,623140.0486
40,41,10,41,16,471054.8563,623124.5771
41,42,10,42,16,470162.3522,622256.2213
42,43,8,43,18,469269.2322,621481.0023
43,44,15,44,11,468767.5564,620862.0108
44,45,15,45,11,468553.5703,620589.6672
45,46,15,46,11,467855.2088,620177.0086
46,47,5,47,21,467745.3865,624324.8116
47,48,0,48,26,467708.2219,621451.4394
48,49,0,49,26,467548.2511,621572.573
49,50,0,50,26,467240.6612,621432.6301
50,51,13,51,13,467184.7712,624134.1155
51,52,0,52,26,467197.8181,624725.0067
52,53,0,53,26,466987.8779,622093.5953
53,54,0,54,26,467017.765,620375.8464
54,55,2,55,24,466904.8561,621168.5893
55,56,0,56,26,466780.2162,623060.9057
56,57,0,57,26,466768.8741,625112.2539
57,58,0,58,26,465447.6201,620875.7828
58,59,4,59,22,464940.7055,625678.6101
59,60,0,60,26,464420.2692,625489.6216
60,61,20,61,6,463217.0163,618453.1849
61,62,10,62,16,471116.3765,623154.2172
62,63,10,63,16,470372.7015,622416.3899
63,64,14,64,12,470129.6334,622883.5255
64,65,14,65,12,469934.4347,622791.6749
65,66,0,66,26,469385.0772,622679.7673
66,67,9,67,17,468580.4246,620816.6477
67,68,9,68,17,468440.9134,620835.8366
68,69,0,69,26,467755.1592,620987.6024
69,70,15,70,11,467719.5411,619740.4979
70,71,10,71,16,467603.4911,623475.1903
