FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
0,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,30,1,Location 30 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.133808400206,0.0,1.60572535111,0.0,0.0,0.00141174948272
1,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,78,2,Location 78 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.225577053923,0.0,2.70686393882,0.0,0.0,0.00244747174707
2,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,11,3,Location 11 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.237284175659,0.0,2.84735697095,0.0,0.0,0.00258233830789
3,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,27,4,Location 27 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.245847977219,0.0,2.94986094852,0.0,0.0,0.00234249754035
4,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,28,5,Location 28 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.291686144353,0.0,3.50009024059,0.0,0.0,0.00292049399195
5,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,53,6,Location 53 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.291686144353,0.0,3.50009024059,0.0,0.0,0.00292049399195
6,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,13,7,Location 13 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.359909630404,0.0,4.31904852349,0.0,0.0,0.00343693882781
7,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,25,8,Location 25 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.374926352164,0.0,4.49902587987,0.0,0.0,0.0041237959303
8,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,7,9,Location 7 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.37511825938,0.0,4.50131338979,0.0,0.0,0.00418011273628
9,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,80,10,Location 80 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.414170082091,0.0,4.97018067476,0.0,0.0,0.00394126425043
10,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,26,11,Location 26 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.49120542637,0.0,5.89458771865,0.0,0.0,0.00482086144386
11,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,77,12,Location 77 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.49120542637,0.0,5.89458771865,0.0,0.0,0.00482086144386
12,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,55,13,Location 55 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.49120542637,0.0,5.89458771865,0.0,0.0,0.00482086144386
13,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,76,14,Location 76 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.515734386767,0.0,6.18881828523,0.0,0.0,0.00534204437542
14,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,14,15,Location 14 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.587689515537,0.0,7.05220704777,0.0,0.0,0.0058437532971
15,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,81,16,Location 81 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.597743309468,0.0,7.17304178393,0.0,0.0,0.00614518677118
16,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,33,17,Location 33 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.679822953848,0.0,8.15797364643,0.0,0.0,0.00702731153554
17,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,75,18,Location 75 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.683315479078,0.0,8.1998816495,0.0,0.0,0.00697458980647
18,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,23,19,Location 23 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.685266885656,0.0,8.22329013133,0.0,0.0,0.00696459402156
19,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,49,20,Location 49 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.885287211613,0.0,10.6235862218,0.0,0.0,0.00896244462412
20,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,48,21,Location 48 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.906697656696,0.0,10.8805183647,0.0,0.0,0.00922380144786
21,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,58,22,Location 58 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.921438954246,0.0,11.0570933474,0.0,0.0,0.00975319653143
22,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,16,23,Location 16 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.02596455616,0.0,12.311228831,0.0,0.0,0.0109261122041
23,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,97,24,Location 97 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.05488431046,0.0,12.6587602828,0.0,0.0,0.0108047069584
24,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,69,25,Location 69 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,1.07858237763,0.0,12.9431222778,0.0,0.0,0.0110467368532
25,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,95,26,Location 95 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.18422428294,0.0,14.2107016891,0.0,0.0,0.0126126562386
26,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,92,27,Location 92 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,1.2328802659,0.0,14.794547932,0.0,0.0,0.0131770127424
27,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,43,28,Location 43 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.2537408075,0.0,15.0449664739,0.0,0.0,0.0132695633591
28,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,66,29,Location 66 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.27163050028,0.0,15.2596323644,0.0,0.0,0.0135633419549
29,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,64,30,Location 64 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,1.36137185578,0.0,16.3369429964,0.0,0.0,0.0149608655114
30,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,65,31,Location 65 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,1.42795354459,0.0,17.1359314204,0.0,0.0,0.0156465101607
31,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,99,32,Location 99 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.52487055382,0.0,18.2988133671,0.0,0.0,0.0167621906812
32,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,56,33,Location 56 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.52487055382,0.0,18.2988133671,0.0,0.0,0.0167621906812
33,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,10,34,Location 10 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.69533174582,0.0,20.3441956501,0.0,0.0,0.0183575104246
34,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,36,35,Location 36 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.71423812983,0.0,20.5713469526,0.0,0.0,0.0170500243604
35,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,60,36,Location 60 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.71712380911,0.0,20.6059795274,0.0,0.0,0.0170760315564
36,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,59,37,Location 59 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.72274205304,0.0,20.6731210488,0.0,0.0,0.0171378521033
37,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,35,38,Location 35 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.72274205304,0.0,20.6731210488,0.0,0.0,0.0171378521033
38,<geoprocessing describe geometry object object at 0x0000017C3FA4A2D0>,85,39,Location 85 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.72274205304,0.0,20.6731210488,0.0,0.0,0.0171378521033
39,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,74,40,Location 74 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.72351881108,0.0,20.6824374405,0.0,0.0,0.0186165202022
40,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,51,41,Location 51 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.73310710162,0.0,20.7974959091,0.0,0.0,0.0187046275348
41,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,84,42,Location 84 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.79335662018,0.0,21.5205875315,0.0,0.0,0.0179876005706
42,<geoprocessing describe geometry object object at 0x0000017C3FA4A2A0>,83,43,Location 83 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.79335662018,0.0,21.5205875315,0.0,0.0,0.0179876005706
