filename,missing_objects
rescue_route_kids_0902_01_missing.csv,11
rescue_route_kids_0902_02_missing.csv,13
rescue_route_kids_0902_03_missing.csv,46
rescue_route_kids_0902_04_missing.csv,96
rescue_route_kids_0902_05_missing.csv,215
rescue_route_kids_0902_06_missing.csv,504
rescue_route_kids_0902_07_missing.csv,556
rescue_route_kids_0902_08_missing.csv,592
rescue_route_kids_0902_09_missing.csv,651
rescue_route_kids_0902_10_missing.csv,682
rescue_route_kids_0902_11_missing.csv,651
rescue_route_kids_0902_12_missing.csv,690
rescue_route_kids_0902_13_missing.csv,697
rescue_route_kids_0902_14_missing.csv,687
rescue_route_kids_0902_15_missing.csv,688
rescue_route_kids_0902_16_missing.csv,680
rescue_route_kids_0902_17_missing.csv,681
rescue_route_kids_0902_18_missing.csv,669
rescue_route_kids_0902_19_missing.csv,643
rescue_route_kids_0902_20_missing.csv,638
rescue_route_kids_0902_21_missing.csv,625
rescue_route_kids_0902_22_missing.csv,570
rescue_route_kids_0902_23_missing.csv,520
rescue_route_kids_0903_00_missing.csv,477
rescue_route_kids_0903_01_missing.csv,459
rescue_route_kids_0903_02_missing.csv,443
