OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1,2,1,  - Location 6,2,2,6,,,,,,,,1.142295221315969,,13.707415757998463,,,0.011857509547240
2,2,1,  - Location 7,2,2,7,,,,,,,,1.573275571382525,,18.879278974359480,,,0.016483206723584
3,2,1,  - Location 8,2,2,8,,,,,,,,0.716296184703618,,8.595534324560374,,,0.007607655365119
4,3,1,  - Location 9,2,1,9,,,,,,,,1.467781573838796,,17.613813796960336,,,0.014935122321501
5,2,1,  - Location 10,1,2,10,,,,,,,,0.452880087082300,,5.434504811167531,,,0.004975690285257
6,2,1,  - Location 11,1,2,11,,,,,,,,0.766422281628171,,9.196913819096476,,,0.008168708495045
7,2,1,  - Location 12,2,2,12,,,,,,,,0.645833533430570,,7.750181409255501,,,0.006577645749099
8,4,1,Thomas J Kavanaugh VFW Post - Location 13,1,1,13,,,,,,,,0.359909630403708,,4.319048523489372,,,0.003436938827811
9,4,1,Thomas J Kavanaugh VFW Post - Location 14,2,1,14,,,,,,,,0.587689515536705,,7.052207047768579,,,0.005843753297099
10,3,1,  - Location 16,2,1,16,,,,,,,,0.509079942237257,,6.109070248051044,,,0.005067504673275
11,3,1,  - Location 22,1,1,22,,,,,,,,1.413488684326441,,16.962296524541689,,,0.014377922263729
12,3,1,  - Location 23,2,1,23,,,,,,,,1.785872884158919,,21.430919409417331,,,0.017988265265012
13,2,1,  - Location 24,1,2,24,,,,,,,,0.862586402597924,,10.350980109691671,,,0.009144926697830
14,3,1,  - Location 26,2,1,26,,,,,,,,1.487644746701456,,17.852249369931183,,,0.015128518313240
15,4,1,Thomas J Kavanaugh VFW Post - Location 28,1,2,28,,,,,,,,0.215077250098720,,2.581007928255159,,,0.002357529313429
16,3,1,  - Location 29,1,1,29,,,,,,,,0.988822874550273,,11.866292046275717,,,0.010269154015650
17,4,1,Thomas J Kavanaugh VFW Post - Location 30,1,2,30,,,,,,,,0.133808400205796,,1.605725351107665,,,0.001411749482722
18,2,1,  - Location 31,2,2,31,,,,,,,,0.579179729874392,,6.950256918345610,,,0.005771922538575
19,3,1,  - Location 32,2,1,32,,,,,,,,0.941261192401124,,11.295574962699476,,,0.009727578235061
20,3,1,  - Location 33,1,2,33,,,,,,,,0.450144545819081,,5.401948608370965,,,0.004468200829193
21,2,1,  - Location 34,1,2,34,,,,,,,,0.563856418303088,,6.766289596392208,,,0.005623198214031
22,2,1,  - Location 35,1,2,35,,,,,,,,1.003127026434409,,12.037764157496234,,,0.010398329668358
23,2,1,  - Location 36,2,2,36,,,,,,,,0.931143583760745,,11.173853719134414,,,0.009814230245605
24,3,1,  - Location 37,1,1,37,,,,,,,,1.587852030446570,,19.054496927322923,,,0.016200278322922
25,2,1,  - Location 47,2,2,47,,,,,,,,1.471533783527552,,17.658135838620460,,,0.015388551213749
26,3,1,  - Location 48,1,1,48,,,,,,,,1.538951192617668,,18.467828370977223,,,0.015513499177919
27,3,1,  - Location 49,2,1,49,,,,,,,,1.484150195946138,,17.810241523445150,,,0.014942246002657
28,3,1,  - Location 50,2,1,50,,,,,,,,1.482578301493159,,17.791388244542876,,,0.015074372779165
29,2,1,  - Location 52,1,2,52,,,,,,,,0.661292540584564,,7.935657895350831,,,0.006912259683228
30,4,1,Thomas J Kavanaugh VFW Post - Location 53,2,2,53,,,,,,,,0.208059588980534,,2.496757792375782,,,0.002160332079338
31,3,1,  - Location 54,2,1,54,,,,,,,,1.146994143003494,,13.764515636278855,,,0.011836584285510
32,4,1,Thomas J Kavanaugh VFW Post - Location 55,1,1,55,,,,,,,,0.512953195839110,,6.155573394390723,,,0.005022396112586
33,2,1,  - Location 56,1,2,56,,,,,,,,0.619574508139396,,7.434911385950294,,,0.006565198653418
34,2,1,  - Location 57,1,2,57,,,,,,,,0.592015175528455,,7.104283698521957,,,0.005889734625213
35,3,1,  - Location 58,2,1,58,,,,,,,,0.404554340321439,,4.854934764494735,,,0.003894589000609
36,2,1,  - Location 59,1,2,59,,,,,,,,1.085925316516957,,13.031300123421731,,,0.011375599440158
37,2,1,  - Location 60,1,2,60,,,,,,,,0.919261822524009,,11.031291542029907,,,0.009674242720402
38,3,1,  - Location 66,1,1,66,,,,,,,,2.164565188547932,,25.975262683186447,,,0.022272635737539
39,3,1,  - Location 69,1,1,69,,,,,,,,1.458932425547659,,17.507599898276410,,,0.014853547878652
40,2,1,  - Location 71,2,2,71,,,,,,,,1.122510169753075,,13.469983793357745,,,0.011606615048073
41,2,1,  - Location 73,2,2,73,,,,,,,,0.736054549537879,,8.832838372257326,,,0.007688198821517
42,3,1,  - Location 75,1,1,75,,,,,,,,1.765851488716148,,21.190682791377846,,,0.017852958118806
43,2,1,  - Location 76,1,2,76,,,,,,,,1.785740274847281,,21.428898769803698,,,0.018433228941992
44,3,1,  - Location 77,1,1,77,,,,,,,,1.467781573838796,,17.613813796960336,,,0.014935122321501
45,4,1,Thomas J Kavanaugh VFW Post - Location 78,1,2,78,,,,,,,,0.225577053922552,,2.706863938817094,,,0.002447471747070
46,3,1,  - Location 79,2,1,79,,,,,,,,1.658298519435745,,19.900027597354750,,,0.016789664125011
47,4,1,Thomas J Kavanaugh VFW Post - Location 80,1,1,80,,,,,,,,0.424601359019251,,5.095357291900374,,,0.004038218156404
48,3,1,  - Location 81,1,2,81,,,,,,,,0.516648678575248,,6.200038418298704,,,0.005339428002124
49,2,1,  - Location 82,1,2,82,,,,,,,,0.716078311858494,,8.592942907536072,,,0.007292850448474
50,3,1,  - Location 83,1,1,83,,,,,,,,4.530955669889475,,54.371706221663793,,,0.048411705018142
51,2,1,  - Location 84,1,2,84,,,,,,,,1.116279099694908,,13.395529568971064,,,0.011733865567490
52,2,1,  - Location 85,1,2,85,,,,,,,,0.900410087657349,,10.805151219697084,,,0.009381532163400
53,3,1,  - Location 86,2,1,86,,,,,,,,4.418604978479768,,53.023515877196246,,,0.046984188263612
54,3,1,  - Location 87,2,1,87,,,,,,,,2.030892459930913,,24.370964244503874,,,0.020697718524518
55,3,1,  - Location 94,1,1,94,,,,,,,,2.192863417812646,,26.314553196163473,,,0.022465788626974
56,3,1,  - Location 95,1,1,95,,,,,,,,2.077158971204419,,24.926332007899280,,,0.021321950021172
57,3,1,  - Location 97,2,1,97,,,,,,,,1.525856808034840,,18.310663165545488,,,0.015537072383465
58,2,1,  - Location 98,2,2,98,,,,,,,,1.172414439884186,,14.068848389496461,,,0.012153293242612
59,2,1,  - Location 99,2,2,99,,,,,,,,0.613388823803441,,7.360674446321882,,,0.006506318016040
60,4,1,Thomas J Kavanaugh VFW Post - Location 100,1,1,100,,,,,,,,0.418751434450809,,5.025055831959102,,,0.004205939338579
61,4,1,Thomas J Kavanaugh VFW Post - Location 101,1,1,101,,,,,,,,0.512953195839110,,6.155573394390723,,,0.005022396112586
62,3,1,  - Location 102,1,1,102,,,,,,,,1.936180361270477,,23.234755176333920,,,0.019623589270381
63,2,1,  - Location 103,2,2,103,,,,,,,,0.428675018420115,,5.144213742063737,,,0.004010544163341
64,3,1,  - Location 104,1,2,104,,,,,,,,0.514445374175555,,6.173543450127166,,,0.005167093315645
65,2,1,  - Location 105,2,2,105,,,,,,,,0.532498419445298,,6.390104001657866,,,0.005153038437311
66,3,1,  - Location 106,2,1,106,,,,,,,,0.456358343076208,,5.476537565809931,,,0.004527586319765
67,3,1,  - Location 107,1,1,107,,,,,,,,1.231622796201288,,14.779692180809462,,,0.012471579202791
68,3,1,  - Location 108,2,1,108,,,,,,,,2.005393708958731,,24.065019152604382,,,0.020467570384983
69,3,1,  - Location 115,2,1,115,,,,,,,,2.112154346181735,,25.346250954956972,,,0.021741844072017
70,3,1,  - Location 116,2,1,116,,,,,,,,2.081236401916501,,24.975266141352289,,,0.021365818013667
71,2,1,  - Location 120,1,2,120,,,,,,,,1.765435978639438,,21.185485608035229,,,0.018034188089945
72,3,1,  - Location 121,1,1,121,,,,,,,,1.446849076348419,,17.362599685953754,,,0.014740501853942
73,2,1,  - Location 123,2,2,123,,,,,,,,1.631253951868334,,19.575173660394949,,,0.016953263735745
74,2,1,  - Location 124,2,2,124,,,,,,,,0.765775409690414,,9.189110564760606,,,0.008161478702780
75,3,1,  - Location 125,1,1,125,,,,,,,,1.485789417961873,,17.829983338658959,,,0.015110785560858
76,2,1,  - Location 126,2,2,126,,,,,,,,0.469179739472895,,5.630127537147858,,,0.005315764780763
77,3,1,  - Location 127,2,1,127,,,,,,,,1.275370991022006,,15.304587459933565,,,0.013011477700303
78,4,1,Thomas J Kavanaugh VFW Post - Location 128,2,1,128,,,,,,,,0.491683188462462,,5.900321137094377,,,0.004825288452984
79,4,1,Thomas J Kavanaugh VFW Post - Location 129,2,1,129,,,,,,,,0.637556313045567,,7.650525120307773,,,0.006412526631443
80,4,1,Thomas J Kavanaugh VFW Post - Location 130,1,2,130,,,,,,,,0.182122808016769,,2.185532375547142,,,0.001974011225881
81,2,1,  - Location 131,2,2,131,,,,,,,,0.705132334677595,,8.461796207996420,,,0.007142040864023
82,2,1,  - Location 132,2,2,132,,,,,,,,0.626536405236275,,7.518463973895342,,,0.006630530760439
83,2,1,  - Location 133,2,2,133,,,,,,,,0.588018619908650,,7.056196203882254,,,0.006269069880000
